actual,テキスト
1,努力は報われるってこの人のことをさしてるってぐらい努力してるラーメンは言い方悪いがお金を出せば手に入るだけどヒカキンの努力はお金なんかでは買えないほんと凄いおめでとう
1,本当に努力してきたのが伝わりましたラーメン絶対買う
1,こんなに頑張って作ったら買うしかないよね
1,これ見たらヒカキンがどれだけラーメンを愛し夢に本気だったか分かる素直におめでとう
1,早く発売してほしい
1,人気出て買えなさそう食べたい ?
1,ラーメンの中では味噌が0番好きだから地元でも売られるようになったら絶対買う
1,田舎はないかと思ったけど全国で嬉しい絶対買う
1,発売が楽しみすぐ売り切れちゃいそう??
1,スーパーで商品を並ばせる側だったのが並ぶ側になったのが凄すぎる
1,アレルギーの関係で小麦がたくさん食べれないのでメシ版が凄く嬉しい味噌大好きです絶対食べます
1,絶対買う出来ることなら店も出して欲しいね
1,出来ることなら毎日食べたいくらい同じくラーメンが好きなので必ず買って食べます
1,ラーメン好きだから嬉しいあと落ち着いたらちょっと休んでほしい切実
1,こっちまで嬉しくなるわぁ絶対買うてかセブンで売ってるのすご
1,服とか鞄とかじゃなくてラーメンってのが個人的に最高
1,あのラ王より高いのはびっくりだけど0円なら全然食べたい
1,0年がかりでの商品化は気合いが入ってますね食堂ミサの味噌ラーメンが原点の味ということで私もミサの味噌ラーメンは大好きなので味には期待できます早く食べてみたい
1,売り切れたら終わりとかじゃ無くどんどん作っていつでも買えるようにしてね♪
1,こんな美味しそうなのコンビニで買えちゃうのすごい早く食べたい
1,食べたい
1,ヒカキンさんの育った地域にはニューミサもあったし味噌ラーメンは0番身近なものだったんだと思うな
1,味噌ラーメン好きだから食べてみたい ?
1,そんなにラーメン好きで救われる人がいるんですね私もラーメン屋さんで働いてるけどもっとラーメン屋さんで働いてる事に自信をもって働こうと思います
1,ここまで何度も何度も試食を繰り返し人生を支えてくれたラーメンをヒカキンさんや他の方々との協力でやっと出来たラーメン情熱努力いかに本気であったかが伝わる
1,店舗じゃなくてカップにした事で気軽にみんな食べられるのがなんかhikakinさんの人柄が表れてるなぁって思いました地方民なので東京でお店構えられても食べられないので食べるのとっても楽しみです
1,塩ラーメンだとしおきん豚骨ラーメンだととんきんじゃあ正油ラーメンだとせいきんになる
1,絶対うまいね言うまでもない
1,0円本当にいつでも誰でも食べたいときに食べられる価格設定で泣ける
1,ガチお腹空く早く食べたい
1,youtubeもやってて忙しいはずなのに0年くらい努力してんのはすごいなと思った必ず食べます
1,絶対買いますでも売り切れてそうで怖い
1,マジですげぇわ休んでも休まなくて準備して一刻でも早くみんなに知らせれるよう努力してるとことか本当に美味しそうなのが伝わってるくる
1,ヒカキンにも苦しくて辛い時代があったんですね第0部がすごくよかったですラーメンに助けられたっていう思いとみんなにも元気になってほしいっていう思いが本当に伝わってきて涙が止まりませんでした00の発売を心待ちにしてます
1,ラーメン大好きだから嬉しい絶対買います
1,まじでかっこいいな普通に美味そうだし今度買お
1,自分の予想のお店出すんじゃないかなと思ってたちょっと異なってましたただ是非とも食べたいです
1,自分の好きな商品を自分で監修して商品として販売できるなんてすごいな
1,すごすぎる夢を叶えていくのすごいよo?????o????発売されたら絶対食べる人気すぎてすぐ無くなりそうで怖い
1,ラーメン好きだから見かけたら食べてみるわ
1,変なアパレル系に走る奴も多い中ラーメンで勝負を仕掛けるってのは素晴らしい
1,叶えたかった夢を実現するためにyoutube活動で忙しい中でもこだわりながら商品開発してきたって本当にすごい
1,服とかじゃなくてラーメンってのがhikakinらしくて好き
1,ラーメン好きだからまじ嬉しい
1,内容ちゃんと見る前はラーメンとカップめしならラーメンがいいかなって思ってたけどこのカップめしめちゃくちゃ美味しそうやな発売日に買いに行こう笑
1,密着映像見てすごくこだわったのが伝わってきてラーメンの中で味噌ラーメンはあまり食べないけど食べてみたいと思った
1,ラーメンに凄くこだわって作られたのが伝わってきます発売日楽しみです
1,すぐ完売しちゃいそういつ食べれるかわからないけどめっちゃ楽しみです
1,一切妥協しないこの人の出すラーメンなら味も期待出来そうですね後は値段か
1,早く食べたいなー発売日が待ち遠しい
1,こんな休みのない多忙の中でラーメンの商品作りも進めてたの凄すぎでしょ絶対食べます
1,ほんとまだ全然人気出ない頃にヒカキンを友達から勧められて観てたけどそのヒカキンがいまこうしてhikakinpremiumのラーメンが出るそして今となってはyoutube界を代表するくらいの人となってるほんとにすげーこれからも応援してます
1,発売日に絶対買う
1,試食してる姿やパッケージのこだわりを語る姿がもはや有名店の凄腕ご主人感があってかっけぇ
1,セブンで出してくれるの嬉しい田舎者でも手が出せる笑
1,期間限定じゃないよね〇〇タンメンの様に永久に店頭に並ぶと良いね
1,スーパーで働いてて商品売ってた側なのに自分がプロデュースして販売するの本当に感動する0日当日買いに行こ
1,こんなに本気で食べたいと思うプロモーション初めて
1,めちゃくちゃ美味しそう早く食べてみたいo
1,味噌ラーメンあまり好きじゃないが見かけたら0食食べてみます
1,熱湯入れたら0分じゃなくて0分待つのかさすがヒカキン全てがオリジナル
1,美味しそう食べたい
1,めちゃくちゃこだわり抜いて作られたのがすごく伝わりました絶対買います
1,ちゃんと全国のラーメンを回るという伏線をはっていたと思うと鳥肌もんだわ
1,これは素直に食べたいそう思える熱量でした
1,最近味噌ラーメンハマってるからマジで嬉しい
1,カップ飯も出してくれるところが最高
1,凄く思いの詰まったラーメンに仕上がったと思いますセブンが無くて買いに行けないのが残念ですが出かけた際に買いたいと思います
1,白味噌も入ったベースのニンニクのパンチあるラーメンの味の意味がわかりましたニューミサ僕も大ファンですコレは試してみたい
1,ガツッとくるカップ飯楽しみ
1,めちゃくちゃ美味しそうに食べるからお腹すいてきました絶対どっちも買います
1,これは売れる未来しか見えませんね絶対買います
1,沖縄では発売されないのね
1,急上昇0位おめでとうございます0年かけてできたラーメンが買える日が待ち遠しいです
1,今後色んな味出して欲しい
1,尊敬でしかないめちゃくちゃ努力を感じるし普通にめっちゃ美味しそう私もラーメンものすごく好きなので嬉しすぎます絶対買いに行きますおめでとうございます
1,味噌ラーメン好きなので見かけたら絶対買います
1,私もバイトしてた頃社会人になってからもお世話になってますカップ飯もあるの有難い贔屓します
1,あんなしっかりもやし入ってることあるんや
1,私もラーメン大好きなので絶対買いますおめでとうございますここまで努力できるのが本当に尊敬します
1,そのラーメン買いたくなります
1,お店を出すのではなく全国民が気軽に手に出来るようにセブンで販売するところがヒカキンらしくて心暖まるね夢に向かって努力して実現したヒカキンを誇らしく尊敬する
1,コンビニで買えるのは嬉しいヒカキンさんの本気のラーメン絶対食べる
1,発売が楽しみすぎて毎日見てます見れば見るほど美味しそう
1,発売楽しみにしてます ?出来たら違う味もお願いしますmm
1,しょうゆラーメンが美味しすぎて味噌ラーメン食べたことないのに凄く美味しそうこれは買いだな
1,ラーメン大好きだから必ず食べます
1,味噌ラーメン自体が好きすぎるし絶対買うめっちゃ楽しみ
1,発売待ち遠しい
1,ラーメン大好きなhikakinさんが作ったラーメンとか絶対に美味いやんあと手軽に買えるとか最高買うしかないわ
1,売ってあったら絶対買う
1,口角が上がるラーメンってすっごくいい
1,ラーメンに目をつけるとはセンスというかなにもかもスゴすぎてさすが神と呼ばれるだけある全youtuberびっくりしてんだろうなぁ
1,自分の夢を叶えるために0年間頑張ってそしてその準備のためにたった一週間視聴者を待たせないようにすることができるyoutuberの鑑
1,美味しそう
1,ふむふむ品薄になる前に絶対買う
1,大好きなラーメン旅企画が商品開発の伏線だったの嬉しすぎ
1,感動だなぁラーメンの色んな袋付いてないの楽すぎて神すぎるめっちゃ良い急いでる時に0袋とか面倒だから
1,美味そう
1,ヒカキンさんありがとう一般庶民が手を出せる商品を作ってくださってこれで高級なものだったら買えませんでした
1,ほかのyoutuberとは違ってラーメンなのいい
1,味噌ラーメン大好きだから嬉しいー
1,美味しそう絶対食べます
1,好きなことにほんと全力一生懸命な方観てて面白いし楽しい尊敬沖縄でも販売あるかな
1,これは絶対買って食べますラーメンは本当に食べると幸せになりますよね
1,うわわ美味しそうすぎる絶対買う
1,味噌ラーメンが一番好きだから嬉しい
1,セブンだけじゃなくてスーパーとかにもあったらすごい売れそう
1,服とかじゃ無くてラーメンなのほんとに好き流石hikakin
1,濃厚味噌で香味油白味噌使用麺処くるりが本当に好きだったんだなって分かるわな
1,泣けましたおめでとうございます0日セブン出勤なので必ず買わせていただきます出勤前に売り切れちゃいそう楽しみです
1,ラーメン食べてみたいニッシンとすごいね元スーパー定員とは思えないよね
1,本当に努力してみんなを明るく元気にさせるラーメンにしたいっていう気持ちがすごい伝わった
1,美味しそう発売日楽しみです
1,大好きなラーメンが作れるくらいビッグな男になったヒカキンさんマジですごい他の商品も当たり前だけどこうやって試作を重ねて作られてるんだなぁと思うとなんだか感動しました絶対食べたい絶対見つけ出して食べます
1,0年間かけたラーメン絶対買いに行きます楽しみです
1,ラーメン苦手だけどその中で0番好きな味がミソだから嬉しい絶対食べる?
1,これ絶対買って食べるラーメン大好き
1,これだけの熱量で作ったラーメン絶対おいしい
1,台湾ででもでも買いたい
1,めちゃくちゃ楽しみ美味しそうだから早く食べてみたい
1,美味しそう
1,カッコよすぎる絶対に買います味噌ラーメン好きなので早く食べたいです
1,パッケージのデザインもセンスあって素敵ですね下積み時代も人生が変わるその日もラーメンと共に感動的です
1,0月0日になったらすぐセブン行って買ってきすラーメン好きだしめっちゃ楽しみ
1,普通に美味しそうだし一般市民に気軽に手に入りやすくて凄くありがたいです買いますね
1,絶対うまいやん買うか本当におめでとうございます
1,故郷のラーメン屋さんのくだりは涙出るね具材や調味料だけじゃない背景や思い出が何よりの美味しさに繋がる隠し味
1,わかりみが強いですラーメンは人生です必ず買います
1,これは売れる口角が上がる感覚わかりますさっそく0日からセブン見てきます
1,ラーメンはラーメンでも味噌に限るよなぁ
1,なんなら店舗出してくれてもええんやで
1,私も以前落ち込んでいた時ラーメンを食べてこの一杯でこんな幸せな気分になれるって本当すごいなぁって思ったの思い出しましたhikakinさんおめでとう早く食べれるの楽しみにしてます
1,なんとなくヒカキンラーメン好きだな?って思ってたけどまさか作ってみたいと思ってたとは食いて?楽しみだな?
1,普段あんまりラーメン食べないけどヒカキンさんのラーメンなら食べてみたい
1,ラーメンダーツの旅は伏線だったのか
1,体質がらラーメン小麦粉が食べられませんがメシも出してくれたなんて心から応援いたします
1,カップメシの方0食目からはチーズ入れて食べてみたい
1,誰でも手に取れる価格帯ってのもありがたい必ず買って食べますそしてみんなのコンビニ紹介気になりますね
1,カップ飯大好きなので凄く楽しみです発売日にセブン直行します
1,めっちゃ美味しそう ???0つとも買います
1,普通に美味そ見つけたら買う
1,今までの様々挑戦を経てたどり着いたラーメン食べるの楽しみです
1,おめでとうございますとても美味しそうでアメリカでも買えたら嬉しい大ヒット商品になって海外進出もできますように
1,号泣してしまいました本当におめでとうございますかっこいいです発売されたらセブンにいきますね♪
1,セブンイレブン無いから食べれないいつかセブンイレブン見つけたら入って絶対買う
1,同い年で一番尊敬と安心感がある人柄ですラーメン発売おめでとうございます当日買いに行きます
1,味もこだわってそうちゃんと美味しそうなので期待
1,そのうち袋麺も出してくれ
1,ヒカキンのことだから妥協せず真っ当に頑張ってこだわって制作したんやろな
1,味噌ラーメン味のカップ飯は売ってないからめちゃくちゃ嬉しいです絶対買います
1,取り敢えず二種類買うヒカキン応援してるから
1,夢を叶えられるって凄い事だな自分の好きな食べ物を商品として出せるなんて凄い
1,すごい興味あるラーメン0年間とは凄いですねでもほんとに何もしない期間を作って欲しいです
1,hikakinさんは安心して一生推せる発売が楽しみ
1,私もラーメンが大好きでとても共感できました
1,ただ発売するのでなくラーメンに助けられた感動的なエピソードがあるのがやっぱりヒカキンさん神だなって思う
1,hikakinの凄い所はラーメンとカップ飯を両方しっかり食べてるところ
1,これだけ魂込めて完成させたラーメン本当に凄いです発売日に近所のセブンイレブンにも並ぶかな田舎だから地域差ありそうですよね見付けたら絶対食べます楽しみです
1,正直かなり楽しみ自分の口に合うかはもちろんわからないけどhikakinさんが思う至高の一杯がどんな味なのかは食べてみたい
1,hikakinさんが作ったからとかいう補正は一切抜きにしてラーメンとして美味しそう
1,おめでとうございます0年間も私達の事も考え食べやすく美味しそうなラーメンを作って頂きこちらも凄く嬉しいです0月0日が凄く待ちどうしいです??
1,ラーメンメシめちゃくちゃ美味しそうなので買って食べて見たいと思います夢を現実に叶えられて良かったですねおめでとうございます
1,別にヒカキンさんファンではないけどこの人の努力凄いと思うあと普通にラーメンうまそう
1,嬉しいそうに紹介してるhikakinさん見てるとこっちまで嬉しくなります発売日絶対買います
1,この量で0円オーバーは高すぎだろ
1,めっちゃ美味しそう絶対買う
1,自分の好きな物を形にしてこだわって作るのってすげ?よ本当にかっこいいよ発売されたら買う食べたいもんいや?尊敬
1,両方とも必ず購入しますっ発売日が楽しみ
1,hikakinさんのラーメンに対する本気が伝わりました発売が本当に楽しみです
1,学生だからyoutuberとかが出すものって高いけどhikakinさんは学生の気持ちも考えてくれたのか0円という化学でこだわりのラーメンが食べれるのは楽しみです友達と買いに行きます
1,凄くこだわって作ったのもあってめっちゃ美味しそうちなみに白味噌派なので尚更食べたーい??????ω??????開発中大変そうだったけどもヒカキンさんがとてもキラキラしてて少年のようでした長年の夢のひとつの実現おめでとうございます発売を楽しみに待ちたいと思います
1,hikakinの商品だから買わなくても安心と信頼があるのやばい
1,素敵自分もラーメン好きなので発売を楽しみに待ってます
1,これあれだねスーパーでも発売して欲しいくらい食べたいです僕も小さい時から0年生まれなんですけど味噌ラーメンが大好きで近くに札幌ラーメンがあって毎日のように言っていますそれぐらい味噌ラーメンが大好きです
1,これは売り切れなるだろうなー買いたい名言食べ終わったら容器は綺麗に保存だほんと美味しそうで
1,おめでとうございます私もラーメン大好きなので楽しみ過ぎます
1,初コメですご自身の夢の実現本当におめでとうございます発売日には店頭に沢山並んでいる姿が想像できます味噌味大好きなので店頭に並んだらぜひとも購入したいと思います楽しみにしてます
1,同じラーメン好きとしてここまでやるhikakinさんを尊敬するラーメンうまいよね
1,味噌ラーメン大好きだし大好きなhikakinが作ったラーメンなのが最高
1,うっわめっちゃ美味しそ絶対ラーメンとカップ飯買うわ
1,ラーメン製作の関係者から情報もれなかったの凄いな
1,味噌ラーメン大好きなので楽しみです
1,あのhikakinさんがここまで上り詰めたのはこのラーメンのおかげでもあるのはすごすぎるそしてそのラーメンを作ったのももっとすごいし感動しました
1,つよぽん絶対に0月0日買ってみようかな超美味しそうだね
1,是非食べてみたいヒカキンさんをずっと支えていたラーメンこだわり抜いた一杯を食べて元気を貰えるといいなぁ
1,ファミマローソンでも販売して欲しい
1,本当に楽しみにしてますカートンで買いたいです
1,深夜に見なきゃよかった美味しそうすぎる味もそうだけどhikakinがラーメンと一緒に色々乗り越えてきた想いを聴くと自分もそういう日に食べたいと思った楽しみ初日買います
1,美味そうー絶対買います
1,わーいいぇーーいおめでとうございますコンビニで買えるの嬉しいです楽しみー
1,夢を叶えられて良かったですねおめでとうございます諦めなければ夢は叶うセブンで出会ったら買います
1,コンビニで売ってくれるのはありがたい味噌ラーメン普段食べんけどhikakinさんのラーメン食べてみたいと思いましたこれからもずっと応援しますがんばってください
1,hikakinさんが美味しく食べてるのを見ると発売が待ち遠しいし早く食べてみたいー
1,すごいめっちゃ売れそう
1,麺の硬さが気になって
1,自分の夢を叶えるhikakinさんスゲーやラーメンの中でも特に味噌が好きだから味にも期待しちゃう飯系の報告と知らず深夜に見たらガッツリ飯テロで腹減った
1,hikakinさんの一生懸命作ったラーメン食べてみたい ?
1,ほんとにうれしそうつたわってきます東京に行ったりせずセブンで買えるなんてヒカキンさん本当にありがとうございます
1,ケースで予約しました来るの楽しみ食べるの楽しみ
1,すごいおめでとうございます絶対買って食べる美味しそうかっこいい大好き
1,麺処くるり行きたくなるなぁラーメンひたすら食べたくなるhikakin頑張って
1,おめでとうございますセブンでかえるの有り難い元気がない時に私もヒカキンラーメンでパワーもらいます?
1,めちゃ美味しそう
1,味噌ってのがいいですね食べてみます次あれば豚骨も期待してます
1,美味しそう食べたい?
1,0日まで待ちきれない私もラーメン大好きです本当にすごい行動力だよhikakinさんおめでとう
1,第二弾とかでシオキンとか作って欲しい
1,まっすぐで真剣で真摯でやっぱりヒカキン大好きヒカキンの夢が叶って嬉しいラーメンもカップメシも食べるの楽しみ
1,完成おめでとうございます発売楽しみですラーメンは豚骨とかが人気が多いですがそこを味噌でくるところがたまらないしかもニンニクいり最高楽しみにしてますあちこちのセブン巡りしよ
1,美味しそう食いてぇーーーーーーーーーーーーーーーーーーーーー
1,まってまさかのみそめし美味しそうすぎるヒカキンのことだから本当にこだわって作ってくれてるはず絶対食べまーーす
1,楽しみにしてる笑すぐ売り切れそうだね
1,ラーメンでまさかこんなに感動させられるとは思わなかった
1,おめでとうございますとても美味しそうなラーメンですね早く食べてみたいです
1,様々なバラエティーヌードルも期待してます
1,グッズ系じゃなくてラーメンメインなのが個人的に嬉しい
1,発売決定おめでとうございます0月0の発売日に0つとも買いますこれからも応援してます頑張ってください
1,ラーメンの味で味噌が0番好きだからめっちゃ嬉しいしかも安い買うしかないなヒカキンさんありがとうそしておめでとう
1,夜中に見るんじゃなかった00具が豪華
1,夢を実現することはとても難しい事を叶えるってすごいと思いました0月0日コンビニで探します
1,こってり好きにはたまらん楽しみに待ってますラーメン大好きだぁ
1,セブンないんよなー生協かイオン系列で売ってたら買う
1,やはりラーメンは僕たちにとって最高なものですよね
1,本当におめでとうございます本当においしそうにすすりますねごはんもとっても美味しそうです
1,優しい値段やうれしい
1,メンマ好きにはたまらない
1,味噌ラーメン食べたい
1,夢かなって良かったねおめでとうセブイレに並ぶの楽しみに待ってます
1,小麦アレルギーだからご飯あるの嬉しいお母さんにラーメン食べてもらおうヒカチャンよかったね
1,美味そう
1,わぁー夜中に再生してラーメンクッソ食べたくなったー発売したら買います0月0日楽しみ
1,コンビニで買えるのが嬉しいです夢を叶えるってすごいです
1,夢実現おめでとうございます味噌ラーメン大好きなんです絶対食べます
1,セブンに行けばあるのよね売り切れるかな買いに行こ?
1,夢を叶えたいことを叶えるhikakinさん本当に凄い息子もラーメン大好きなので発売されたら即購入して食べますね
1,発売おめでとうございます食べるの楽しみです
1,醤油キンも欲しい
1,このラーメン食べるために一日頑張れる日が自分にもあるんだろうなと思うと嬉しいどうにか生きてる自分でもギリカップ麺に出せる値段で嬉しい
1,おめでとうございます絶対に買って食べたいと思います本当に美味しそう急上昇ランキング0位素晴らしいです
1,いやもうほんっと幸せそうすぎてこっちまで幸せになりましたラーメン大好きなのでどちらもぜっったい食べます楽しみ
1,味噌ラーメン好きにはたまらんなーおめでとうございます
1,めっちゃくちゃうまそうマジでヒカキンさんは凄いなぁ
1,スーパーにも置いて欲しい
1,濃厚味噌ラーメンが税込で0円なのなぜかひかきんの優しさ詰まってるような感じがしてすき
1,コンビニで買えるのはいいですね
1,キン兄弟がラーメン大好きなのをずっと見てきたからこれほど信頼における商品はないと思ってます絶対食べたい争奪戦になりそうなのでゆっくり手に入れますね笑一つ夢を叶えること本当に素晴らしいし勇気をもらえますおめでとうございます
1,発売楽しみにしてます
1,買いたい近くにセブンあるから買える
1,味噌ラーメン好きとしてとても気になる絶対買う味噌派閥にも嗜好が違う事があるからhikakinさんがどんな味が好きなのか楽しみ
1,まじうまそーはやく食べたいぜ
1,市ヶ谷の旧くるりが好きなの同じだし味噌だし楽しみ過ぎる
1,濃厚味噌ラーメンと濃厚味噌メシどれも美味しそう買う時間があったら両方買います
1,出てきた直後に親に買って買ってって言います
1,おめでとうございます楽しみー早く買いたいみんなを勇気づけ幸せにできるラーメンヒカキンさんの想いが詰まってて素敵です
1,自分の誕生日にヒカキンのラーメンが発売とは最高のプレゼント楽しみにしてます
1,そんなことだろうと思ったコンビニ行って買いますねー
1,カップ飯めっちゃいいな
1,くっそ美味そう
1,ラーメンいいな
1,おかんがラーメン出すかなんかの商品ちゃうん言うてたんマジで当たってんやけど笑笑笑
1,美味そうだなぁそうに決まってる
1,ずっと商品紹介してとうとう自分の商品ができたんですねおめでとうございますセブンのオーナーなのでたくさん発注しますね
1,hikakinが作ったラーメンってだけで埋もれないね
1,味噌ラーメン苦手なので醤油か塩も作って下さい
1,ラーメン美味しそう
1,味噌ラーメンで良かった他の味だと食べないので食べてみます
1,このラーメン青森でも売りますか食いてえ
1,麺の太さが大好きな太さだ
1,買いたいけど売り切れてそう
1,ニンニク味噌ラーメンって妙高のラーメンから来てるかなだとしたら新潟県民として凄く嬉しい
1,めっちゃ美味しそうですね絶対買います
1,絶対買うこんなの買わないわけ無いじゃないですかまずヒカキンさんの作ったラーメンってとこで買わないわけ無い
1,こんなうまいもん出されたら俺が太ってしまうて
1,これは売り切れで買えなくなるないつ食べれんのか
1,美味しそうですね発売が楽しみです♪
1,美味しそう食べたい
1,いつかブタキンてきなやつも食べてみたいな
1,私も同郷なのであのミサのガツンと感のある味噌ラーメンは脳に刻まれてます笑おめでとうございます楽しみにしています♪
1,うまそー
1,もやしが入ってるって珍しくね
1,ラーメンダーツはこのための伏線か
1,ただヒカキンの名前を使った商品ではなくヒカキンが作りたかったラーメンていうのが良いよね
1,シンプルにバカ美味そう
1,本当に早く食べたい0日セブン回りまくります
1,美味しそうだねえ食うまでもない
1,滅茶苦茶おいしそう
1,ちょっとうまそうなの草
1,セブン少し離れてるけどhikakin大好きだからセブン行こ
1,普通に美味しそう
1,セブンイレブンの社員誰も情報漏らさなくて草
1,普通においしそうたのしみ
1,めちゃくちゃ美味しそう食べます
1,品切れしまくってる未来が容易に想像できる笑
1,美味しそう
1,ニンニクが効いた味噌ラーメンは食堂ミサイメージかな
1,絶対売り切れなってるやろな
1,セブンイレブンのオーナーやってますおそらく特発で発注上限かかると思いますが上限いっぱい発注させてもらいます
1,あたしもラーメンは大好きです ?楽しみにしてます
1,けどなんか美味しそう
1,ラーメン最高
1,ラーメン美味しそうですけどめそらーめん食べれないのでしょうゆとかでもいいので食べたいです
1,みそキン早く食べたい
1,味噌キンカップメン食べたい0☆楽しみ♪♪
1,めちゃくちゃおいしいそう
1,くそー食べたいのに近くにセブンがないあったとしても二時間かかる
